,date,cnt,day_of_week,date_fix,month
147,131,1658,3,2013-05-29,2013-05-01
148,132,1497,4,2013-05-30,2013-05-01
149,133,1161,5,2013-05-31,2013-05-01
150,134,113,6,2013-06-01,2013-06-01
151,135,14,7,2013-06-02,2013-06-01
152,136,2374,1,2013-06-03,2013-06-01
153,137,1885,2,2013-06-04,2013-06-01
154,138,1606,3,2013-06-05,2013-06-01
155,139,1690,4,2013-06-06,2013-06-01
156,140,1354,5,2013-06-07,2013-06-01
157,141,1266,6,2013-06-08,2013-06-01
158,142,1309,7,2013-06-09,2013-06-01
159,143,89,1,2013-06-10,2013-06-01
160,-1,0,2,2013-06-11,2013-06-01
161,-1,0,3,2013-06-12,2013-06-01
162,144,2265,4,2013-06-13,2013-06-01
163,145,1721,5,2013-06-14,2013-06-01
164,146,150,6,2013-06-15,2013-06-01
165,147,26,7,2013-06-16,2013-06-01
166,148,1612,1,2013-06-17,2013-06-01
167,149,2178,2,2013-06-18,2013-06-01
168,150,1539,3,2013-06-19,2013-06-01
169,151,1067,4,2013-06-20,2013-06-01
170,152,1325,5,2013-06-21,2013-06-01
171,153,85,6,2013-06-22,2013-06-01
172,154,36,7,2013-06-23,2013-06-01
173,155,1778,1,2013-06-24,2013-06-01
174,156,2336,2,2013-06-25,2013-06-01
175,157,1487,3,2013-06-26,2013-06-01
176,158,1025,4,2013-06-27,2013-06-01
177,159,1659,5,2013-06-28,2013-06-01
178,160,183,6,2013-06-29,2013-06-01
179,-1,0,7,2013-06-30,2013-06-01
180,161,1819,1,2013-07-01,2013-07-01
181,162,1781,2,2013-07-02,2013-07-01
182,163,1924,3,2013-07-03,2013-07-01
183,164,1256,4,2013-07-04,2013-07-01
184,165,1526,5,2013-07-05,2013-07-01
185,166,108,6,2013-07-06,2013-07-01
186,167,14,7,2013-07-07,2013-07-01
187,168,1804,1,2013-07-08,2013-07-01
188,169,1615,2,2013-07-09,2013-07-01
189,170,1558,3,2013-07-10,2013-07-01
190,171,810,4,2013-07-11,2013-07-01
191,172,1603,5,2013-07-12,2013-07-01
192,173,94,6,2013-07-13,2013-07-01
193,174,23,7,2013-07-14,2013-07-01
194,175,2141,1,2013-07-15,2013-07-01
195,176,1759,2,2013-07-16,2013-07-01
196,177,1506,3,2013-07-17,2013-07-01
197,178,1271,4,2013-07-18,2013-07-01
198,179,1633,5,2013-07-19,2013-07-01
199,180,154,6,2013-07-20,2013-07-01
200,181,14,7,2013-07-21,2013-07-01
201,182,2028,1,2013-07-22,2013-07-01
202,183,2033,2,2013-07-23,2013-07-01
203,184,1346,3,2013-07-24,2013-07-01
204,185,1031,4,2013-07-25,2013-07-01
205,186,1290,5,2013-07-26,2013-07-01
206,187,42,6,2013-07-27,2013-07-01
207,-1,0,7,2013-07-28,2013-07-01
208,188,1961,1,2013-07-29,2013-07-01
209,189,1751,2,2013-07-30,2013-07-01
210,190,1505,3,2013-07-31,2013-07-01
211,191,1477,4,2013-08-01,2013-08-01
212,192,1892,5,2013-08-02,2013-08-01
213,193,81,6,2013-08-03,2013-08-01
214,-1,0,7,2013-08-04,2013-08-01
215,194,2100,1,2013-08-05,2013-08-01
216,195,1905,2,2013-08-06,2013-08-01
217,196,1682,3,2013-08-07,2013-08-01
218,197,1370,4,2013-08-08,2013-08-01
219,198,985,5,2013-08-09,2013-08-01
220,199,27,6,2013-08-10,2013-08-01
221,-1,0,7,2013-08-11,2013-08-01
222,200,1804,1,2013-08-12,2013-08-01
223,201,1760,2,2013-08-13,2013-08-01
224,202,1951,3,2013-08-14,2013-08-01
225,203,1058,4,2013-08-15,2013-08-01
226,204,1150,5,2013-08-16,2013-08-01
227,205,363,6,2013-08-17,2013-08-01
228,-1,0,7,2013-08-18,2013-08-01
229,206,2765,1,2013-08-19,2013-08-01
230,207,2281,2,2013-08-20,2013-08-01
231,208,1064,3,2013-08-21,2013-08-01
232,209,1438,4,2013-08-22,2013-08-01
233,210,1698,5,2013-08-23,2013-08-01
234,211,122,6,2013-08-24,2013-08-01
235,212,14,7,2013-08-25,2013-08-01
236,213,2106,1,2013-08-26,2013-08-01
237,214,1811,2,2013-08-27,2013-08-01
238,215,1751,3,2013-08-28,2013-08-01
239,216,1433,4,2013-08-29,2013-08-01
240,217,1034,5,2013-08-30,2013-08-01
241,218,73,6,2013-08-31,2013-08-01
242,219,26,7,2013-09-01,2013-09-01
243,220,1775,1,2013-09-02,2013-09-01
244,221,2032,2,2013-09-03,2013-09-01
245,222,1607,3,2013-09-04,2013-09-01
246,223,861,4,2013-09-05,2013-09-01
247,224,1534,5,2013-09-06,2013-09-01
248,225,371,6,2013-09-07,2013-09-01
249,-1,0,7,2013-09-08,2013-09-01
250,226,1794,1,2013-09-09,2013-09-01
251,227,1965,2,2013-09-10,2013-09-01
252,228,1408,3,2013-09-11,2013-09-01
253,229,1762,4,2013-09-12,2013-09-01
254,230,1329,5,2013-09-13,2013-09-01
255,231,188,6,2013-09-14,2013-09-01
256,-1,0,7,2013-09-15,2013-09-01
257,232,2288,1,2013-09-16,2013-09-01
258,233,1900,2,2013-09-17,2013-09-01
259,234,2101,3,2013-09-18,2013-09-01
260,235,48,4,2013-09-19,2013-09-01
261,236,13,5,2013-09-20,2013-09-01
262,-1,0,6,2013-09-21,2013-09-01
263,237,2933,7,2013-09-22,2013-09-01
264,238,2330,1,2013-09-23,2013-09-01
265,239,2483,2,2013-09-24,2013-09-01
266,240,1949,3,2013-09-25,2013-09-01
267,241,1898,4,2013-09-26,2013-09-01
268,242,2025,5,2013-09-27,2013-09-01
269,243,243,6,2013-09-28,2013-09-01
270,244,2876,7,2013-09-29,2013-09-01
271,245,2172,1,2013-09-30,2013-09-01
272,-1,0,2,2013-10-01,2013-10-01
273,246,117,3,2013-10-02,2013-10-01
274,-1,0,4,2013-10-03,2013-10-01
275,247,17,5,2013-10-04,2013-10-01
276,248,16,6,2013-10-05,2013-10-01
277,249,19,7,2013-10-06,2013-10-01
278,-1,0,1,2013-10-07,2013-10-01
279,250,4723,2,2013-10-08,2013-10-01
280,251,2681,3,2013-10-09,2013-10-01
281,252,1876,4,2013-10-10,2013-10-01
282,253,1339,5,2013-10-11,2013-10-01
283,254,1414,6,2013-10-12,2013-10-01
284,255,19,7,2013-10-13,2013-10-01
285,256,2250,1,2013-10-14,2013-10-01
286,257,2669,2,2013-10-15,2013-10-01
287,258,2540,3,2013-10-16,2013-10-01
288,259,997,4,2013-10-17,2013-10-01
289,260,1808,5,2013-10-18,2013-10-01
290,261,171,6,2013-10-19,2013-10-01
291,-1,0,7,2013-10-20,2013-10-01
292,262,1909,1,2013-10-21,2013-10-01
293,263,2541,2,2013-10-22,2013-10-01
294,264,1722,3,2013-10-23,2013-10-01
295,265,1606,4,2013-10-24,2013-10-01
296,266,1664,5,2013-10-25,2013-10-01
297,267,192,6,2013-10-26,2013-10-01
298,-1,0,7,2013-10-27,2013-10-01
299,268,2436,1,2013-10-28,2013-10-01
300,269,2077,2,2013-10-29,2013-10-01
301,270,1789,3,2013-10-30,2013-10-01
302,271,1321,4,2013-10-31,2013-10-01
303,272,1714,5,2013-11-01,2013-11-01
304,273,129,6,2013-11-02,2013-11-01
305,-1,0,7,2013-11-03,2013-11-01
306,274,2059,1,2013-11-04,2013-11-01
307,275,1849,2,2013-11-05,2013-11-01
308,276,1631,3,2013-11-06,2013-11-01
309,277,1197,4,2013-11-07,2013-11-01
310,278,2099,5,2013-11-08,2013-11-01
311,279,206,6,2013-11-09,2013-11-01
312,-1,0,7,2013-11-10,2013-11-01
313,280,1712,1,2013-11-11,2013-11-01
314,281,2338,2,2013-11-12,2013-11-01
315,282,2103,3,2013-11-13,2013-11-01
316,283,1130,4,2013-11-14,2013-11-01
317,284,1693,5,2013-11-15,2013-11-01
318,285,170,6,2013-11-16,2013-11-01
319,-1,0,7,2013-11-17,2013-11-01
320,286,2057,1,2013-11-18,2013-11-01
321,287,2160,2,2013-11-19,2013-11-01
322,288,1519,3,2013-11-20,2013-11-01
323,289,1357,4,2013-11-21,2013-11-01
324,290,1698,5,2013-11-22,2013-11-01
325,291,192,6,2013-11-23,2013-11-01
326,292,22,7,2013-11-24,2013-11-01
327,293,2118,1,2013-11-25,2013-11-01
328,294,2170,2,2013-11-26,2013-11-01
329,295,1681,3,2013-11-27,2013-11-01
330,296,1454,4,2013-11-28,2013-11-01
331,297,1849,5,2013-11-29,2013-11-01
332,298,778,6,2013-11-30,2013-11-01
333,-1,0,7,2013-12-01,2013-12-01
334,299,2290,1,2013-12-02,2013-12-01
335,300,2126,2,2013-12-03,2013-12-01
336,301,2309,3,2013-12-04,2013-12-01
337,302,1288,4,2013-12-05,2013-12-01
338,303,1654,5,2013-12-06,2013-12-01
339,304,377,6,2013-12-07,2013-12-01
340,-1,0,7,2013-12-08,2013-12-01
341,305,2026,1,2013-12-09,2013-12-01
342,306,2002,2,2013-12-10,2013-12-01
343,307,2739,3,2013-12-11,2013-12-01
344,308,1726,4,2013-12-12,2013-12-01
345,309,1474,5,2013-12-13,2013-12-01
346,310,255,6,2013-12-14,2013-12-01
347,-1,0,7,2013-12-15,2013-12-01
348,311,2156,1,2013-12-16,2013-12-01
349,312,1680,2,2013-12-17,2013-12-01
350,313,1979,3,2013-12-18,2013-12-01
351,314,1207,4,2013-12-19,2013-12-01
352,315,1831,5,2013-12-20,2013-12-01
353,316,278,6,2013-12-21,2013-12-01
354,-1,0,7,2013-12-22,2013-12-01
355,317,1587,1,2013-12-23,2013-12-01
356,318,1514,2,2013-12-24,2013-12-01
357,319,1584,3,2013-12-25,2013-12-01
358,320,1365,4,2013-12-26,2013-12-01
359,321,1642,5,2013-12-27,2013-12-01
360,322,205,6,2013-12-28,2013-12-01
361,-1,0,7,2013-12-29,2013-12-01
362,323,1660,1,2013-12-30,2013-12-01
363,324,950,2,2013-12-31,2013-12-01
364,-1,0,3,2014-01-01,2014-01-01
365,325,4254,4,2014-01-02,2014-01-01
366,326,4569,5,2014-01-03,2014-01-01
367,327,649,6,2014-01-04,2014-01-01
368,-1,0,7,2014-01-05,2014-01-01
369,328,5202,1,2014-01-06,2014-01-01
370,329,5090,2,2014-01-07,2014-01-01
371,330,3488,3,2014-01-08,2014-01-01
372,331,2171,4,2014-01-09,2014-01-01
373,332,3075,5,2014-01-10,2014-01-01
374,333,441,6,2014-01-11,2014-01-01
375,-1,0,7,2014-01-12,2014-01-01
376,334,2593,1,2014-01-13,2014-01-01
377,335,2796,2,2014-01-14,2014-01-01
378,336,2546,3,2014-01-15,2014-01-01
379,337,2706,4,2014-01-16,2014-01-01
380,338,3006,5,2014-01-17,2014-01-01
381,339,411,6,2014-01-18,2014-01-01
382,-1,0,7,2014-01-19,2014-01-01
383,340,3591,1,2014-01-20,2014-01-01
384,341,3528,2,2014-01-21,2014-01-01
385,342,3534,3,2014-01-22,2014-01-01
386,343,2142,4,2014-01-23,2014-01-01
387,344,3887,5,2014-01-24,2014-01-01
388,345,324,6,2014-01-25,2014-01-01
389,346,1659,7,2014-01-26,2014-01-01
390,347,4320,1,2014-01-27,2014-01-01
391,348,3957,2,2014-01-28,2014-01-01
392,349,1598,3,2014-01-29,2014-01-01
393,350,244,4,2014-01-30,2014-01-01
394,-1,0,5,2014-01-31,2014-01-01
395,-1,0,6,2014-02-01,2014-02-01
396,-1,0,7,2014-02-02,2014-02-01
397,-1,0,1,2014-02-03,2014-02-01
398,-1,0,2,2014-02-04,2014-02-01
399,351,23,3,2014-02-05,2014-02-01
400,352,19,4,2014-02-06,2014-02-01
401,353,4061,5,2014-02-07,2014-02-01
402,354,3332,6,2014-02-08,2014-02-01
403,355,13,7,2014-02-09,2014-02-01
404,356,3710,1,2014-02-10,2014-02-01
405,357,3525,2,2014-02-11,2014-02-01
406,358,2282,3,2014-02-12,2014-02-01
407,359,1576,4,2014-02-13,2014-02-01
408,360,1772,5,2014-02-14,2014-02-01
409,361,272,6,2014-02-15,2014-02-01
410,362,18,7,2014-02-16,2014-02-01
411,363,1835,1,2014-02-17,2014-02-01
412,364,1904,2,2014-02-18,2014-02-01
413,365,2040,3,2014-02-19,2014-02-01
414,366,1532,4,2014-02-20,2014-02-01
415,367,1905,5,2014-02-21,2014-02-01
416,368,250,6,2014-02-22,2014-02-01
417,369,13,7,2014-02-23,2014-02-01
418,370,2387,1,2014-02-24,2014-02-01
419,371,3224,2,2014-02-25,2014-02-01
420,372,2471,3,2014-02-26,2014-02-01
421,373,1566,4,2014-02-27,2014-02-01
422,374,1308,5,2014-02-28,2014-02-01
423,375,305,6,2014-03-01,2014-03-01
424,376,27,7,2014-03-02,2014-03-01
425,377,2206,1,2014-03-03,2014-03-01
426,378,2018,2,2014-03-04,2014-03-01
427,379,1722,3,2014-03-05,2014-03-01
428,380,1437,4,2014-03-06,2014-03-01
429,381,1064,5,2014-03-07,2014-03-01
430,382,390,6,2014-03-08,2014-03-01
431,-1,0,7,2014-03-09,2014-03-01
432,383,2065,1,2014-03-10,2014-03-01
433,384,1802,2,2014-03-11,2014-03-01
434,385,1693,3,2014-03-12,2014-03-01
435,386,1392,4,2014-03-13,2014-03-01
436,387,1129,5,2014-03-14,2014-03-01
437,388,239,6,2014-03-15,2014-03-01
438,-1,0,7,2014-03-16,2014-03-01
439,389,1932,1,2014-03-17,2014-03-01
440,390,2848,2,2014-03-18,2014-03-01
441,391,1933,3,2014-03-19,2014-03-01
442,392,1124,4,2014-03-20,2014-03-01
443,393,1500,5,2014-03-21,2014-03-01
444,394,222,6,2014-03-22,2014-03-01
445,-1,0,7,2014-03-23,2014-03-01
446,395,1582,1,2014-03-24,2014-03-01
447,396,2051,2,2014-03-25,2014-03-01
448,397,2954,3,2014-03-26,2014-03-01
449,398,1534,4,2014-03-27,2014-03-01
450,399,2473,5,2014-03-28,2014-03-01
451,400,139,6,2014-03-29,2014-03-01
452,401,25,7,2014-03-30,2014-03-01
453,402,1739,1,2014-03-31,2014-03-01
454,403,1915,2,2014-04-01,2014-04-01
455,404,1787,3,2014-04-02,2014-04-01
456,405,1668,4,2014-04-03,2014-04-01
457,406,1348,5,2014-04-04,2014-04-01
458,407,25,6,2014-04-05,2014-04-01
459,408,22,7,2014-04-06,2014-04-01
460,409,59,1,2014-04-07,2014-04-01
461,410,3076,2,2014-04-08,2014-04-01
462,411,2469,3,2014-04-09,2014-04-01
463,412,1603,4,2014-04-10,2014-04-01
464,413,1460,5,2014-04-11,2014-04-01
465,414,182,6,2014-04-12,2014-04-01
466,-1,0,7,2014-04-13,2014-04-01
467,415,1901,1,2014-04-14,2014-04-01
468,416,1870,2,2014-04-15,2014-04-01
469,417,1682,3,2014-04-16,2014-04-01
470,418,2176,4,2014-04-17,2014-04-01
471,419,1885,5,2014-04-18,2014-04-01
472,420,357,6,2014-04-19,2014-04-01
473,421,22,7,2014-04-20,2014-04-01
474,422,2070,1,2014-04-21,2014-04-01
475,423,2607,2,2014-04-22,2014-04-01
476,424,1803,3,2014-04-23,2014-04-01
477,425,1100,4,2014-04-24,2014-04-01
478,426,2248,5,2014-04-25,2014-04-01
479,427,230,6,2014-04-26,2014-04-01
480,-1,0,7,2014-04-27,2014-04-01
481,428,1901,1,2014-04-28,2014-04-01
482,429,2174,2,2014-04-29,2014-04-01
483,430,1863,3,2014-04-30,2014-04-01
484,-1,0,4,2014-05-01,2014-05-01
485,431,12,5,2014-05-02,2014-05-01
486,432,72,6,2014-05-03,2014-05-01
487,433,2590,7,2014-05-04,2014-05-01
488,434,1621,1,2014-05-05,2014-05-01
489,435,2257,2,2014-05-06,2014-05-01
490,436,2025,3,2014-05-07,2014-05-01
491,437,2284,4,2014-05-08,2014-05-01
492,438,1628,5,2014-05-09,2014-05-01
493,439,191,6,2014-05-10,2014-05-01
494,-1,0,7,2014-05-11,2014-05-01
495,440,1599,1,2014-05-12,2014-05-01
496,441,1857,2,2014-05-13,2014-05-01
497,442,1755,3,2014-05-14,2014-05-01
498,443,1230,4,2014-05-15,2014-05-01
499,444,1686,5,2014-05-16,2014-05-01
500,445,263,6,2014-05-17,2014-05-01
501,446,18,7,2014-05-18,2014-05-01
502,447,1812,1,2014-05-19,2014-05-01
503,448,1841,2,2014-05-20,2014-05-01
504,449,1090,3,2014-05-21,2014-05-01
505,450,1253,4,2014-05-22,2014-05-01
506,451,1545,5,2014-05-23,2014-05-01
507,452,123,6,2014-05-24,2014-05-01
508,-1,0,7,2014-05-25,2014-05-01
509,453,1862,1,2014-05-26,2014-05-01
510,454,1769,2,2014-05-27,2014-05-01
511,455,1302,3,2014-05-28,2014-05-01
512,456,1201,4,2014-05-29,2014-05-01
513,457,2338,5,2014-05-30,2014-05-01
514,458,153,6,2014-05-31,2014-05-01
515,459,47,7,2014-06-01,2014-06-01
516,-1,0,1,2014-06-02,2014-06-01
517,460,2908,2,2014-06-03,2014-06-01
518,461,1661,3,2014-06-04,2014-06-01
519,462,1081,4,2014-06-05,2014-06-01
520,463,1774,5,2014-06-06,2014-06-01
521,464,124,6,2014-06-07,2014-06-01
522,465,13,7,2014-06-08,2014-06-01
523,466,1919,1,2014-06-09,2014-06-01
524,467,1288,2,2014-06-10,2014-06-01
525,468,1073,3,2014-06-11,2014-06-01
526,469,1025,4,2014-06-12,2014-06-01
527,470,1383,5,2014-06-13,2014-06-01
528,471,212,6,2014-06-14,2014-06-01
529,-1,0,7,2014-06-15,2014-06-01
530,472,1489,1,2014-06-16,2014-06-01
531,473,1713,2,2014-06-17,2014-06-01
532,474,1952,3,2014-06-18,2014-06-01
533,475,1227,4,2014-06-19,2014-06-01
534,476,1370,5,2014-06-20,2014-06-01
535,477,133,6,2014-06-21,2014-06-01
536,-1,0,7,2014-06-22,2014-06-01
537,478,1616,1,2014-06-23,2014-06-01
538,479,2016,2,2014-06-24,2014-06-01
539,480,2483,3,2014-06-25,2014-06-01
540,481,1467,4,2014-06-26,2014-06-01
541,482,2049,5,2014-06-27,2014-06-01
542,483,291,6,2014-06-28,2014-06-01
543,-1,0,7,2014-06-29,2014-06-01
544,484,1184,1,2014-06-30,2014-06-01
545,485,2822,2,2014-07-01,2014-07-01
546,486,2027,3,2014-07-02,2014-07-01
547,487,1542,4,2014-07-03,2014-07-01
548,488,1754,5,2014-07-04,2014-07-01
549,489,107,6,2014-07-05,2014-07-01
550,-1,0,7,2014-07-06,2014-07-01
551,490,1983,1,2014-07-07,2014-07-01
552,491,2209,2,2014-07-08,2014-07-01
553,492,1731,3,2014-07-09,2014-07-01
554,493,1266,4,2014-07-10,2014-07-01
555,494,1494,5,2014-07-11,2014-07-01
556,495,152,6,2014-07-12,2014-07-01
557,-1,0,7,2014-07-13,2014-07-01
558,496,2065,1,2014-07-14,2014-07-01
559,497,2072,2,2014-07-15,2014-07-01
560,498,1792,3,2014-07-16,2014-07-01
561,499,1512,4,2014-07-17,2014-07-01
562,500,1853,5,2014-07-18,2014-07-01
563,501,248,6,2014-07-19,2014-07-01
564,-1,0,7,2014-07-20,2014-07-01
565,502,1740,1,2014-07-21,2014-07-01
566,503,1739,2,2014-07-22,2014-07-01
567,504,1495,3,2014-07-23,2014-07-01
568,505,1656,4,2014-07-24,2014-07-01
569,506,1244,5,2014-07-25,2014-07-01
570,507,41,6,2014-07-26,2014-07-01
571,-1,0,7,2014-07-27,2014-07-01
572,508,1755,1,2014-07-28,2014-07-01
573,509,1749,2,2014-07-29,2014-07-01
574,510,1313,3,2014-07-30,2014-07-01
575,511,1175,4,2014-07-31,2014-07-01
576,512,1391,5,2014-08-01,2014-08-01
577,513,248,6,2014-08-02,2014-08-01
578,-1,0,7,2014-08-03,2014-08-01
579,514,2022,1,2014-08-04,2014-08-01
580,515,2787,2,2014-08-05,2014-08-01
581,516,1658,3,2014-08-06,2014-08-01
582,517,1023,4,2014-08-07,2014-08-01
583,518,1545,5,2014-08-08,2014-08-01
584,519,207,6,2014-08-09,2014-08-01
585,-1,0,7,2014-08-10,2014-08-01
586,520,2076,1,2014-08-11,2014-08-01
587,521,1416,2,2014-08-12,2014-08-01
588,522,1421,3,2014-08-13,2014-08-01
589,523,1130,4,2014-08-14,2014-08-01
590,524,1377,5,2014-08-15,2014-08-01
591,525,248,6,2014-08-16,2014-08-01
592,-1,0,7,2014-08-17,2014-08-01
593,526,1867,1,2014-08-18,2014-08-01
594,527,1941,2,2014-08-19,2014-08-01
595,528,1707,3,2014-08-20,2014-08-01
596,529,1510,4,2014-08-21,2014-08-01
597,530,1065,5,2014-08-22,2014-08-01
598,531,305,6,2014-08-23,2014-08-01
599,532,13,7,2014-08-24,2014-08-01
600,533,1824,1,2014-08-25,2014-08-01
601,534,2049,2,2014-08-26,2014-08-01
602,535,1371,3,2014-08-27,2014-08-01
603,536,1299,4,2014-08-28,2014-08-01
604,537,1752,5,2014-08-29,2014-08-01
605,538,212,6,2014-08-30,2014-08-01
606,-1,0,7,2014-08-31,2014-08-01
607,539,2764,1,2014-09-01,2014-09-01
608,540,2466,2,2014-09-02,2014-09-01
609,541,2079,3,2014-09-03,2014-09-01
610,542,1471,4,2014-09-04,2014-09-01
611,543,2344,5,2014-09-05,2014-09-01
